date,title,amount
2026-03-09,Zig*Restaurante Cantar,79.90
2026-03-08,IOF de compra internacional,0.96
2026-03-08,Cia dos Bichos,70.70
2026-03-08,Openai,27.50
2026-03-03,Ifd*62.685.057 Weyne J,0.90
2026-03-02,Pagamento recebido,-906.52
2026-03-02,Juros de atraso,20.75
2026-03-02,IOF de atraso,3.75
2026-03-02,Multa de atraso,18.19
2026-03-02,Juros de dívida encerrada,42.71
2026-03-02,Encerramento de dívida,-42.71
2026-02-28,Netflix Entretenimento,44.90
2026-02-27,Burger King,62.90
2026-02-27,Zul 3 Cartoes 1y4f19,3.00
2026-02-27,Principe Park,18.00
2026-02-26,Crédito de atraso,-906.51
2026-02-26,Saldo em atraso,906.51
2026-02-23,Termrodoviario,32.00
2026-02-21,99Food - NuPay,31.47
2026-02-19,Madeiramadeira - Parcela 5/10,101.36
2026-02-19,Ingresso.Com - Parcela 2/2,22.80
2026-02-19,Masterformulafcia - Parcela 4/4,66.73
2026-02-19,Shopee*M Wang - Parcela 2/2,30.29
2026-02-19,Shopee *Metalmind - Parcela 5/5,11.59
2026-02-19,Shopee *Bgtrmaster - Parcela 2/2,28.18
2026-02-19,Shopee *Lilyspace - Parcela 4/4,5.78
2026-02-19,Sabrinabarbosado - Parcela 2/2,63.15
2026-02-19,Shopee *Aeroadventure - Parcela 5/5,11.08
2026-02-19,Shopee *Borealgroupcom - Parcela 2/2,16.17
2026-02-19,Shopee *Pinuzshop - Parcela 2/3,18.42
2026-02-19,Shopee *Supermame - Parcela 2/2,21.04
